code,country,total_population,coastal_population,plastic_waste_per_capita,plastic_waste_total,inadequately_managed_plastic,fish_consumption,gdp
KIR,"kiribati","100566",61624,0.103,3859,84,73.88,153275912.676573
GRD,"grenada","104298",105679,0.325,12417,18,31.1,771015888.888889
TUN,"tunisia","10439600",8889040,0.144,559235,60,12.81,44050929160.2627
PRT,"portugal","10568247",9588570,0.265,1022683,0,56.1,238303443425.21
GIN,"guinea","10715770",3014200,0.03,118196,84,9.81,6861546075.83455
BEL,"belgium","10796493",8722320,0.08,318151,0,25.22,483548031197.108
CYP,"cyprus","1090486",854086,0.248,100713,0,22.22,25562251655.6291
VCT,"st-vincent-and-the-grenadines","109255",122483,0.221,8818,21,18.35,681225962.962963
GRC,"greece","11107017",11042600,0.2,811858,0,18.82,299361576558.217
CUB,"cuba","11297442",11280300,0.089,368154,23,5.75,64328000000
MEX,"mexico","116815612",31664500,0.087,3725463,12,12.13,1051128603513.77
IND,"india","1214182182",285689000,0.01,4493080,85,5.72,1656617073124.21
MUS,"mauritius","1247429",1261230,0.23,104971,51,21.69,10003670690.3497
SEN,"senegal","12581624",10123600,0.103,485586,82,23.97,12948906288.5576
JPN,"japan","128047000",126695000,0.171,7993489,0,52.6,5700098114744.41
TTO,"trinidad-and-tobago","1321624",1333310,3.6,1745123,3,19.86,22157948396.2042
CHN,"china","1331260000",334250000,0.121,59079741,74,32.32,6100620488867.55
EST,"estonia","1334515",1105370,0.176,85534,9,14.56,19490936349.1753
KHM,"cambodia","14144337",2969600,0.066,344698,87,36.08,11242275198.9783
RUS,"russian-federation","142785342",17948700,0.112,5839685,16,22.33,1524916112078.87
GTM,"guatemala","14418033",9263690,0.28,1495229,36,1.41,41338595380.8159
ECU,"ecuador","14691310",7670470,0.147,801321,30,8.02,69555367000
BGD,"bangladesh","149905836",89137000,0.034,1888170,87,19.34,115279077465.226
GAB,"gabon","1507428",812730,0.054,32329,34,30.68,14358585195.7591
NGA,"nigeria","155207145",40329100,0.103,5961750,81,15.16,369062464570.387
GNB,"guinea-bissau","1596832",1585500,0.054,30666,83,1.13,850633309.814482
NLD,"netherlands","16530388",15422500,0.424,2571398,0,23.37,836389937229.197
PAK,"pakistan","166520983",14939900,0.103,6412210,86,1.94,177406854514.885
STP,"sao-tome-and-principe","167196",157763,0.103,6571,81,27.4,197454053.144483
CHL,"chile","16829957",14765800,0.119,738106,7,13.44,218537551220.071
LCA,"st-lucia","175196",165094,0.522,32882,20,24.84,1381968259.25926
WSM,"samoa","184700",186841,0.103,7000,80,46.71,643046733.391126
BRA,"brazil","196701298",96294300,0.165,11852055,9,8.99,2208871646202.82
CIV,"cote-d'ivoire","19684909",7708930,0.103,766988,82,18.08,24884505034.5564
LKA,"sri-lanka","19967000",18977200,0.357,2621606,82,24.14,56725745039.336
CMR,"cameroon","20074522",3647280,0.046,335305,81,14.47,26143818509.6421
ROU,"romania","20367487",1682100,0.042,310385,26,6.17,167998080493.408
SVN,"slovenia","2039669",1148150,0.145,108421,1,11.06,48013606745.4803
MDG,"madagascar","20495706",9976790,0.016,123526,84,5.67,8729936135.74487
AGO,"angola","20520103",4765740,0.062,528843,71,16.19,82470913120.7314
LVA,"latvia","2141669",1754970,0.124,94935,14,27.91,23757368290.0955
NAM,"namibia","2152357",112320,0.144,114222,66,13.08,11282192605.0374
AUS,"australia","21691700",18173400,0.112,900658,0,26.67,1142876772659.21
VUT,"vanuatu","230782",224161,0.295,25443,81,33.32,700804286.224354
MOZ,"mozambique","23647815",12039600,0.015,132612,84,7.26,10154238250.1818
