Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
 World,Aruba,2016,EXPIMP,Plastic or Rubber,29672.62,970.45,1.63,0.55,1,0.19,0.19,8.74,5.85,388,58.76,41.24,0,0,20,0,0,951.84,319.99,9.69,9.64,15822,78.81,19.92,4.9,47.16,400,0,130.37,1271.82,0
 World,Afghanistan,2016,EXPIMP,Plastic or Rubber,176504.64,2145.14,2.66,0.21,1,8.66,8.66,6.09,9.41,433,44.34,55.43,0,0.23,25,0,0,1227.83,87.25,10.33,9.22,11852,79.69,19.24,2.77,26.56,400,0,46.33,1315.08,0
 World,Angola,2016,EXPIMP,Plastic or Rubber,597489.24,2058.23,4.12,0.01,,,,4.58,3.91,629,60.41,39.59,0,0,40,0,0,1395.11,56.9,9.65,7.98,17535,77.96,20.79,4.61,30.21,400,0,96.81,1452.01,0
 World,Anguila,2016,EXPIMP,Plastic or Rubber,1726.56,228.71,2.38,1.8,,,,8.11,3.53,80,56.25,43.75,0,0,25,0,0,42.52,24.36,10.43,7.29,4156,77.48,21.82,3.75,32.5,400,0,16.2,66.88,0
 World,Albania,2016,EXPIMP,Plastic or Rubber,342871.78,14798.73,4.61,0.72,1,7,7,3,2.64,1076,24.16,75.84,0,0,30,0,0,8982.59,3429.22,9.41,10.86,22570,78.4,20.42,1.95,22.77,400,0,710.61,12411.81,0
 World,Andorra,2016,EXPIMP,Plastic or Rubber,57210.68,1100.58,2.12,1.1,,,,2.02,1.73,618,31.39,68.61,0,0,40,0,0,449.17,712.63,10.07,8.99,18836,80.02,18.74,3.4,34.63,400,0,72.69,1161.8,0
 World,United Arab Emirates,2016,EXPIMP,Plastic or Rubber,7044919.34,6445532.66,2.64,4.12,1,-6.28,-6.28,6.92,4.49,10907,61.24,38.58,0.05,0.14,400,0,88768.95,5937077.33,112.6,8,5.77,41855,74.95,23.78,0.41,4.45,400,0,148583.09,5937189.93,0
 World,Argentina,2016,EXPIMP,Plastic or Rubber,3176692.02,1223960.11,5.31,2.1,1,-6.39,-6.39,3.2,4.21,5005,51.55,48.31,0.02,0.12,45,0,7158.36,1192239.55,483.31,8.03,7.99,38466,75.22,23.59,0.5,8.67,400,0,57896.21,1192722.86,0
 World,Armenia,2016,EXPIMP,Plastic or Rubber,81418.54,7557.92,2.73,0.47,1,-3.11,-3.11,0.45,2.01,389,17.74,82.26,0,0,20,0,0,3645.03,4031.73,9.62,10.17,16907,79.13,19.77,3.6,44.47,400,0,288.4,7676.76,0
 World,American Samoa,2016,EXPIMP,Plastic or Rubber,1536.24,513.27,0.94,1.16,,,,6.38,1.81,131,69.47,30.53,0,0,50,0,0,961.57,339.54,8.98,4.87,9348,76.27,22.85,8.4,54.2,400,0,2.07,1301.11,0
